Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-16163,4/28/16,10:06 PM,April,Thursday,VANDALISM IP,N MADISON ST & W 14TH ST,LB519,BPD,REPORT NEEDED
B16-16052,4/28/16,2:51 AM,April,Thursday,VANDALISM IP,W 11TH ST & N ROGERS ST,LB518,BPD,NO REPORT NEEDED
B16-16077,4/28/16,10:49 AM,April,Thursday,VANDALISM NP,1550 W 3RD ST; ILLINOIS CENTRAL SPRINGS,LB521,BPD,REPORT NEEDED
B16-16135,4/28/16,5:27 PM,April,Thursday,VANDALISM NP,3000 S WALNUT STREET PIKE; APT H4,LB328,BPD,NO REPORT NEEDED
B16-16086,4/28/16,10:19 AM,April,Thursday,VANDALISM NP,501 N WASHINGTON ST,LB102,BPD,REPORT NEEDED
B16-16249,4/29/16,1:31 PM,April,Friday,ALCOHOL RELATED,535 S WALNUT ST; ARBYS SOUTH,LB301,BPD,NO REPORT NEEDED
B16-16186,4/29/16,2:04 AM,April,Friday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-16227,4/29/16,11:04 AM,April,Friday,DISTURBANCE IP,2333 S BRANDON CT,LB326,BPD,REPORT NEEDED
B16-16309,4/29/16,9:35 PM,April,Friday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-16306,4/29/16,9:14 PM,April,Friday,DISTURBANCE IP,300 N WALNUT ST; WALNUT CENTER,LB102,BPD,NO REPORT NEEDED
B16-16202,4/29/16,5:44 AM,April,Friday,DISTURBANCE IP,3400 S SARE RD,LB331,BPD,NO REPORT NEEDED
B16-16198,4/29/16,5:20 AM,April,Friday,DISTURBANCE IP,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,NO REPORT NEEDED
B16-16331,4/29/16,11:47 PM,April,Friday,DISTURBANCE IP,N LINCOLN ST & E 17TH ST,LB212,BPD,NO REPORT NEEDED
B16-16290,4/29/16,6:40 PM,April,Friday,DISTURBANCE NP,858 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-16188,4/29/16,3:08 AM,April,Friday,DRUNK,1800 N WALNUT ST; MOTEL 6; ROOM 104,LB212,BPD,NO REPORT NEEDED
B16-16185,4/29/16,1:38 AM,April,Friday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-16192,4/29/16,3:37 AM,April,Friday,DRUNK,2440 S HENDERSON ST; CRAWFORD APTS;APT 202,LB327,BPD,NO REPORT NEEDED
B16-16176,4/29/16,12:08 AM,April,Friday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-16321,4/29/16,10:52 PM,April,Friday,DRUNK,N DUNN ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-16328,4/29/16,11:39 PM,April,Friday,NOISE,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-16297,4/29/16,7:25 PM,April,Friday,NOISE,1305 S BASSWOOD DR,LB415,BPD,NO REPORT NEEDED
B16-16336,4/29/16,11:47 PM,April,Friday,NOISE,2602 S ADDISYN LN,LB425,BPD,NO REPORT NEEDED
B16-16240,4/29/16,12:02 PM,April,Friday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-16323,4/29/16,10:55 PM,April,Friday,NOISE,409 E 2ND ST,LB104,BPD,NO REPORT NEEDED
B16-16194,4/29/16,4:28 AM,April,Friday,NOISE,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,NO REPORT NEEDED
B16-16187,4/29/16,1:54 AM,April,Friday,NOISE,590 S PARK RIDGE RD; APT 7303,LB307,BPD,NO REPORT NEEDED
B16-16329,4/29/16,11:39 PM,April,Friday,NOISE,703 W GOURLEY PIKE,LB513,BPD,NO REPORT NEEDED
B16-16196,4/29/16,4:22 AM,April,Friday,NOISE,822 S HENDERSON ST,LB301,BPD,NO REPORT NEEDED
B16-16195,4/29/16,4:01 AM,April,Friday,NOISE,N COLLEGE AVE & W 10TH ST,LB101,BPD,NO REPORT NEEDED
B16-16314,4/29/16,9:26 PM,April,Friday,NOISE,S GRANT ST & E 2ND ST,LB301,BPD,NO REPORT NEEDED
B16-16221,4/29/16,9:55 AM,April,Friday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,NO REPORT NEEDED
B16-16308,4/29/16,9:22 PM,April,Friday,VANDALISM IP,N GRANT ST & E 7TH ST,LB102,BPD,REPORT NEEDED
B16-16327,4/29/16,11:26 PM,April,Friday,VANDALISM NP,1965 S WALNUT ST; BLOOMINGTON HIGH SCHOOL SOUTH,LB315,BPD,REPORT NEEDED
B16-16235,4/29/16,11:50 AM,April,Friday,VANDALISM NP,315 N FESS AVE; 315-317 N FESS AVENUE HOUSE,LB215,BPD,REPORT NEEDED
B16-16245,4/29/16,12:44 PM,April,Friday,VANDALISM NP,419 N WASHINGTON ST; SHOWERS BRIDWELL HOUSE,LB102,BPD,REPORT NEEDED
B16-16253,4/29/16,1:53 PM,April,Friday,VANDALISM NP,522 N LINCOLN ST,LB102,BPD,REPORT NEEDED
B16-16376,4/30/16,11:45 AM,April,Saturday,DISTURBANCE IP,1614 W ARLINGTON RD; APT 1  ARLINGTON APARTMENTS,LB514,BPD,NO REPORT NEEDED
B16-16405,4/30/16,3:47 PM,April,Saturday,DISTURBANCE IP,2333 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-16343,4/30/16,1:03 AM,April,Saturday,DISTURBANCE IP,802 W COUNTRY CLUB DR,LB423,BPD,NO REPORT NEEDED
B16-16451,4/30/16,11:02 PM,April,Saturday,DISTURBANCE IP,930 W 17TH ST; WESTERN SKATELAND,LB513,BPD,NO REPORT NEEDED
B16-16392,4/30/16,2:06 PM,April,Saturday,DISTURBANCE IP,S CURRY PIKE & W 3RD ST,LB402,BPD,NO REPORT NEEDED
B16-16354,4/30/16,2:45 AM,April,Saturday,DRUNK,3403 E WINSTON ST,LB319,BPD,NO REPORT NEEDED
B16-16344,4/30/16,1:05 AM,April,Saturday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,NO REPORT NEEDED
B16-16348,4/30/16,1:29 AM,April,Saturday,NOISE,2662 E CATHCART ST,LB318,BPD,NO REPORT NEEDED
B16-16458,4/30/16,11:51 PM,April,Saturday,NOISE,3101 E GOODNIGHT WAY; APT 24,LB310,BPD,NO REPORT NEEDED
B16-16364,4/30/16,6:58 AM,April,Saturday,NOISE,3101 E GOODNIGHT WAY; APT 24,LB310,BPD,NO REPORT NEEDED
B16-16340,4/30/16,12:32 AM,April,Saturday,NOISE,509 E 2ND ST,LB104,BPD,NO REPORT NEEDED
B16-16335,4/30/16,12:12 AM,April,Saturday,NOISE,601 E 7TH ST; SIGMA CHI,LB215,BPD,NO REPORT NEEDED
B16-16351,4/30/16,1:38 AM,April,Saturday,NOISE,701 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-16367,4/30/16,9:05 AM,April,Saturday,VANDALISM NP,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,REPORT NEEDED
B16-16530,5/1/16,2:38 PM,May,Sunday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 139,LB212,BPD,REPORT NEEDED
B16-16578,5/1/16,8:16 PM,May,Sunday,DISTURBANCE IP,3175 W 3RD ST; KMART WEST,LB403,BPD,NO REPORT NEEDED
B16-16494,5/1/16,3:32 AM,May,Sunday,DISTURBANCE IP,3316 W WOODHAVEN DR,LMS22,BPD,NO REPORT NEEDED
B16-16576,5/1/16,7:48 PM,May,Sunday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-16533,5/1/16,2:47 PM,May,Sunday,DRUNK,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,NO REPORT NEEDED
B16-16569,5/1/16,7:04 PM,May,Sunday,DRUNK,1350 W BLOOMFIELD RD; BUFFALO WILD WINGS,LB406,BPD,NO REPORT NEEDED
B16-16484,5/1/16,2:12 AM,May,Sunday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-16481,5/1/16,1:40 AM,May,Sunday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-16490,5/1/16,2:58 AM,May,Sunday,DRUNK,401 N MORTON ST; SHOWERS BORTHERS BUILDING,LB101,BPD,NO REPORT NEEDED
B16-16483,5/1/16,1:29 AM,May,Sunday,NOISE,108 E KIRKWOOD AVE; ROOT CELLAR,LB104,BPD,NO REPORT NEEDED
B16-16464,5/1/16,12:25 AM,May,Sunday,NOISE,127 N JEFFERSON ST,LB222,BPD,NO REPORT NEEDED
B16-16556,5/1/16,4:12 PM,May,Sunday,NOISE,1300 N WALNUT ST; APT 5,LB213,BPD,NO REPORT NEEDED
B16-16593,5/1/16,10:36 PM,May,Sunday,NOISE,1417 S MONON DR,LB411,BPD,NO REPORT NEEDED
B16-16480,5/1/16,1:43 AM,May,Sunday,NOISE,3101 E GOODNIGHT WAY; APT 29,LB310,BPD,NO REPORT NEEDED
B16-16474,5/1/16,12:57 AM,May,Sunday,NOISE,318 N JEFFERSON ST,LB222,BPD,NO REPORT NEEDED
B16-16462,5/1/16,12:07 AM,May,Sunday,NOISE,3315 E LONGVIEW AVE; APT 47,LB221,BPD,NO REPORT NEEDED
B16-16498,5/1/16,4:25 AM,May,Sunday,NOISE,3624 E COVENANTER DR; THE FIELDS,LB309,BPD,NO REPORT NEEDED
B16-16492,5/1/16,3:21 AM,May,Sunday,NOISE,3624 E COVENANTER DR; THE FIELDS,LB309,BPD,NO REPORT NEEDED
B16-16470,5/1/16,12:56 AM,May,Sunday,NOISE,813 S CLARK,,BPD,NO REPORT NEEDED
B16-16600,5/1/16,11:56 PM,May,Sunday,NOISE,E HILLSIDE DR & S DORCHESTER DR,LB312,BPD,NO REPORT NEEDED
B16-16489,5/1/16,2:46 AM,May,Sunday,VANDALISM IP,480 E VARSITY LN,LB212,BPD,REPORT NEEDED
B16-16528,5/1/16,2:07 PM,May,Sunday,VANDALISM NP,1004 W COUNTRY CLUB DR; APT 35,LB423,BPD,REPORT NEEDED
B16-16532,5/1/16,2:12 PM,May,Sunday,VANDALISM NP,1218 N COLLEGE AVE,LB519,BPD,REPORT NEEDED
B16-16543,5/1/16,2:37 PM,May,Sunday,VANDALISM NP,221 E 12TH ST,LB213,BPD,REPORT NEEDED
B16-16541,5/1/16,3:04 PM,May,Sunday,VANDALISM NP,419 N WASHINGTON ST; SHOWERS BRIDWELL HOUSE,LB102,BPD,REPORT NEEDED
B16-16664,5/2/16,1:09 PM,May,Monday,DISTURBANCE IP,1010 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-16667,5/2/16,1:24 PM,May,Monday,DISTURBANCE IP,1101 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-16647,5/2/16,11:10 AM,May,Monday,DISTURBANCE IP,3105 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-16609,5/2/16,3:10 AM,May,Monday,NOISE,3315 E LONGVIEW AVE; apt 47,LB221,BPD,NO REPORT NEEDED
B16-16739,5/2/16,11:01 PM,May,Monday,VANDALISM IP,1600 N WILLIS DR,LB513,BPD,NO REPORT NEEDED
B16-16604,5/2/16,1:32 AM,May,Monday,VANDALISM IP,912 S WALNUT ST,LB411,BPD,NO REPORT NEEDED
B16-16745,5/3/16,12:20 AM,May,Tuesday,DISTURBANCE IP,2521 E 2ND ST,LB304,BPD,NO REPORT NEEDED
B16-16751,5/3/16,1:53 AM,May,Tuesday,DISTURBANCE IP,3130 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-16876,5/3/16,11:25 PM,May,Tuesday,DISTURBANCE IP,321 E 14TH ST; APT 2,LB213,BPD,REPORT NEEDED
B16-16797,5/3/16,1:42 PM,May,Tuesday,DISTURBANCE IP,N FAIRVIEW ST & W 13TH ST,LB518,BPD,NO REPORT NEEDED
B16-16796,5/3/16,1:25 PM,May,Tuesday,DISTURBANCE NP,101 W KIRKWOOD AVE; FOUNTAIN SQUARE MALL; SUITE 212,LB103,BPD,REPORT NEEDED
B16-16755,5/3/16,2:38 AM,May,Tuesday,DRUNK,211 N WALNUT ST; BTOWN DINER; STE 1,LB101,BPD,NO REPORT NEEDED
B16-16750,5/3/16,1:30 AM,May,Tuesday,DRUNK,2301 S BURBERRY LN,LB326,BPD,NO REPORT NEEDED
B16-16838,5/3/16,6:32 PM,May,Tuesday,DRUNK,535 S WALNUT ST; ARBYS SOUTH,LB301,BPD,NO REPORT NEEDED
B16-16861,5/3/16,9:08 PM,May,Tuesday,DRUNK,N COLLEGE AVE & W 7TH ST,LB101,BPD,NO REPORT NEEDED
B16-16881,5/3/16,11:57 PM,May,Tuesday,NOISE,103 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-16753,5/3/16,1:47 AM,May,Tuesday,NOISE,213 N WALNUT ST,LB101,BPD,NO REPORT NEEDED
B16-16752,5/3/16,1:43 AM,May,Tuesday,NOISE,2521 E 2ND ST,LB304,BPD,NO REPORT NEEDED
B16-16760,5/3/16,5:03 AM,May,Tuesday,NOISE,2615 S ROCKPORT RD,LB423,BPD,NO REPORT NEEDED
B16-16875,5/3/16,10:38 PM,May,Tuesday,NOISE,411 E 8TH ST; LEXINGTON HOUSE APARTMENTS,LB102,BPD,NO REPORT NEEDED
B16-16879,5/3/16,11:21 PM,May,Tuesday,NOISE,703 W GOURLEY PIKE; APT 1,LB513,BPD,NO REPORT NEEDED
B16-16839,5/3/16,6:41 PM,May,Tuesday,VANDALISM NP,345 S MULLER PKWY; LOT 25,LB405,BPD,REPORT NEEDED
B16-17006,5/4/16,5:37 PM,May,Wednesday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,NO REPORT NEEDED
B16-16900,5/4/16,5:11 AM,May,Wednesday,DISTURBANCE IP,3042 E AMY LN,LB221,BPD,NO REPORT NEEDED
B16-16899,5/4/16,4:47 AM,May,Wednesday,DRUNK,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,REPORT NEEDED
B16-16953,5/4/16,1:03 PM,May,Wednesday,DRUNK,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-16896,5/4/16,3:27 AM,May,Wednesday,NOISE,180 E BROWNSTONE DR,LB213,BPD,NO REPORT NEEDED
B16-16889,5/4/16,1:20 AM,May,Wednesday,NOISE,180 E BROWNSTONE DR,LB213,BPD,NO REPORT NEEDED
B16-16893,5/4/16,3:17 AM,May,Wednesday,NOISE,2504 S ROGERS ST,LB423,BPD,NO REPORT NEEDED
B16-16894,5/4/16,3:20 AM,May,Wednesday,NOISE,315 W KIRKWOOD AVE,LB103,BPD,NO REPORT NEEDED
B16-16890,5/4/16,1:44 AM,May,Wednesday,NOISE,315 W KIRKWOOD AVE,LB103,BPD,NO REPORT NEEDED
B16-17048,5/4/16,11:27 PM,May,Wednesday,NOISE,414 S RONSON ST; apt 37102,LB406,BPD,NO REPORT NEEDED
B16-17031,5/4/16,8:41 PM,May,Wednesday,NOISE,545 S PATTERSON DR ; APT 1104,LB406,BPD,NO REPORT NEEDED
B16-16935,5/4/16,10:13 AM,May,Wednesday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,NO REPORT NEEDED
B16-17118,5/5/16,12:43 PM,May,Thursday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 111,LB212,BPD,NO REPORT NEEDED
B16-17100,5/5/16,11:00 AM,May,Thursday,DISTURBANCE IP,310 S COLLEGE AVE; COURTYARD BLOOMINGTON; COURTYARD,LB103,BPD,NO REPORT NEEDED
B16-17119,5/5/16,12:57 PM,May,Thursday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-17099,5/5/16,10:38 AM,May,Thursday,DISTURBANCE IP,S STATE ROAD 37 & W 3RD ST ; OREILLYS,LB524,BPD,NO REPORT NEEDED
B16-17182,5/5/16,9:23 PM,May,Thursday,NOISE,1215 W 2ND ST; HOOSIER CAR WASH,LB406,BPD,NO REPORT NEEDED
B16-17191,5/5/16,10:30 PM,May,Thursday,NOISE,1700 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-17213,5/5/16,11:57 PM,May,Thursday,NOISE,310 N GRANT ST,LB102,BPD,NO REPORT NEEDED
B16-17135,5/5/16,1:56 PM,May,Thursday,NOISE,3315 E LONGVIEW AVE; APT 47,LB221,BPD,NO REPORT NEEDED
B16-17204,5/5/16,11:28 PM,May,Thursday,NOISE,411 E 8TH ST; LEXINGTON HOUSE APARTMENTS,LB102,BPD,NO REPORT NEEDED
B16-17193,5/5/16,10:40 PM,May,Thursday,NOISE,444 E 3RD ST; apt 100,LB104,BPD,NO REPORT NEEDED
B16-17051,5/5/16,12:17 AM,May,Thursday,NOISE,524 N COLLEGE AVE; APT 405,LB101,BPD,NO REPORT NEEDED
B16-17211,5/5/16,11:20 PM,May,Thursday,NOISE,N HAROLD ST & E ALICE ST,LB102,BPD,NO REPORT NEEDED
B16-17056,5/5/16,1:29 AM,May,Thursday,VANDALISM IP,321 W HILLSIDE DR,LB420,BPD,REPORT NEEDED
B16-17104,5/5/16,11:41 AM,May,Thursday,VANDALISM IP,426 S HAWTHORNE DR,LB302,BPD,NO REPORT NEEDED
B16-17084,5/5/16,7:40 AM,May,Thursday,VANDALISM NP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,REPORT NEEDED
B16-17103,5/5/16,11:31 AM,May,Thursday,VANDALISM NP,2801 S HIGHLAND AVE,LB325,BPD,REPORT NEEDED
B16-17281,5/6/16,10:41 AM,May,Friday,DISTURBANCE IP,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,NO REPORT NEEDED
B16-17371,5/6/16,9:46 PM,May,Friday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-17336,5/6/16,4:18 PM,May,Friday,DISTURBANCE IP,S LINCOLN ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-17376,5/6/16,9:49 PM,May,Friday,DRUNK,1300 N WALNUT ST; apt 4,LB213,BPD,NO REPORT NEEDED
B16-17330,5/6/16,3:32 PM,May,Friday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT NEEDED
B16-17280,5/6/16,10:35 AM,May,Friday,DRUNK,2475 S WINSLOW CT; IN FRONT OF BLDG 3,LB326,BPD,NO REPORT NEEDED
B16-17372,5/6/16,9:47 PM,May,Friday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-17216,5/6/16,12:24 AM,May,Friday,NOISE,1311 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-17236,5/6/16,5:07 AM,May,Friday,NOISE,2350 S HENDERSON ST; TIMBER RIDGE,LB327,BPD,NO REPORT NEEDED
B16-17218,5/6/16,1:02 AM,May,Friday,NOISE,509 E 10TH ST; CEDARVIEW APARTMENTS,LB214,BPD,NO REPORT NEEDED
B16-17393,5/6/16,11:49 PM,May,Friday,NOISE,614 N GRANT ST,LB213,BPD,NO REPORT NEEDED
B16-17217,5/6/16,12:35 AM,May,Friday,NOISE,S GRANT ST & E 4TH ST,LB104,BPD,NO REPORT NEEDED
B16-17338,5/6/16,4:26 PM,May,Friday,PANHANDLING,501 S WALNUT ST; SAHARA MART,LB301,BPD,NO REPORT NEEDED
B16-17367,5/6/16,9:36 PM,May,Friday,VANDALISM NP,2601 N WALNUT ST; CASCADES INN,LB511,BPD,REPORT NEEDED
B16-17319,5/6/16,1:18 PM,May,Friday,VANDALISM NP,416 S LINCOLN ST,LB104,BPD,REPORT NEEDED
B16-17478,5/7/16,4:50 PM,May,Saturday,DISTURBANCE IP,125 S FRANKLIN RD; PIZZA HUT WEST,LB523,BPD,NO REPORT NEEDED
B16-17410,5/7/16,3:22 AM,May,Saturday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-17412,5/7/16,3:36 AM,May,Saturday,DISTURBANCE IP,3387 S OAKLAWN CIR,LB331,BPD,NO REPORT NEEDED
B16-17465,5/7/16,3:33 PM,May,Saturday,DISTURBANCE IP,3804 W 3RD ST; STIMLINE,LB524,BPD,NO REPORT NEEDED
B16-17494,5/7/16,8:54 PM,May,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-17474,5/7/16,4:29 PM,May,Saturday,DISTURBANCE IP,714 S FAIRVIEW ST; apt 8,LB409,BPD,NO REPORT NEEDED
B16-17434,5/7/16,10:11 AM,May,Saturday,DISTURBANCE IP,S FRANKLIN RD & W 3RD ST,LB404,BPD,NO REPORT NEEDED
B16-17414,5/7/16,3:58 AM,May,Saturday,DISTURBANCE IP,W TAPP RD & S BARGER LN,LMS22,BPD,NO REPORT NEEDED
B16-17442,5/7/16,11:38 AM,May,Saturday,DRUNK,416 E COTTAGE GROVE AVE,LB213,BPD,NO REPORT NEEDED
B16-17396,5/7/16,12:22 AM,May,Saturday,DRUNK,820 N DUNN ST,LB214,BPD,NO REPORT NEEDED
B16-17406,5/7/16,2:52 AM,May,Saturday,NOISE,1320 W MILIEU DR,LB406,BPD,NO REPORT NEEDED
B16-17405,5/7/16,2:36 AM,May,Saturday,NOISE,1320 W MILIEU DR,LB406,BPD,NO REPORT NEEDED
B16-17427,5/7/16,8:41 AM,May,Saturday,NOISE,2500 S ROCKPORT RD; APT 1908,LB424,BPD,NO REPORT NEEDED
B16-17416,5/7/16,4:28 AM,May,Saturday,NOISE,545 S PATTERSON DR; apt 1104,LB406,BPD,NO REPORT NEEDED
B16-17403,5/7/16,2:25 AM,May,Saturday,NOISE,553 S DOLIMAH AVE,LB406,BPD,NO REPORT NEEDED
B16-17505,5/7/16,9:43 PM,May,Saturday,NOISE,639 N MAPLE ST; RESIDENCE NEXT DOOR TO THIS ADDRESS,LB518,BPD,NO REPORT NEEDED
B16-17461,5/7/16,3:04 PM,May,Saturday,VANDALISM IP,318 N WALNUT ST; 7TH AND WALNUT STREET PARKING GARAGE,LB102,BPD,REPORT NEEDED
B16-17449,5/7/16,12:29 PM,May,Saturday,VANDALISM NP,1101 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-17457,5/7/16,2:19 PM,May,Saturday,VANDALISM NP,2373 S BRANDON CT,LB326,BPD,REPORT NEEDED
B16-17421,5/7/16,6:40 AM,May,Saturday,VANDALISM NP,2851 N OLD STATE ROAD 37,LB506,BPD,NO REPORT NEEDED
B16-17518,5/8/16,1:00 AM,May,Sunday,DISTURBANCE IP,1302 E 3RD ST; TIS COLLEGE BOOKSTORE,LB303,BPD,NO REPORT NEEDED
B16-17594,5/8/16,7:46 PM,May,Sunday,DISTURBANCE IP,1890 S WALNUT ST; APT 19,LB421,BPD,NO REPORT NEEDED
B16-17537,5/8/16,5:20 AM,May,Sunday,DISTURBANCE IP,2675 E 7TH ST; APT G,LB221,BPD,NO REPORT NEEDED
B16-17574,5/8/16,4:00 PM,May,Sunday,DISTURBANCE IP,4400 E 3RD ST; MR HIBACHI,LB307,BPD,REPORT NEEDED
B16-17516,5/8/16,12:54 AM,May,Sunday,DISTURBANCE IP,443 W HOOSIER COURT AVE,LB513,BPD,NO REPORT NEEDED
B16-17528,5/8/16,2:48 AM,May,Sunday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,NO REPORT NEEDED
B16-17552,5/8/16,12:08 PM,May,Sunday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-17581,5/8/16,4:57 PM,May,Sunday,NOISE,109 E 14TH ST,LB213,BPD,NO REPORT NEEDED
B16-17607,5/8/16,9:10 PM,May,Sunday,NOISE,2350 W BLOOMFIELD RD; TWIN LAKES SPORTS PARK,LB415,BPD,NO REPORT NEEDED
B16-17523,5/8/16,2:03 AM,May,Sunday,NOISE,3100 S WALNUT STREET PIKE; APT A17,LB336,BPD,NO REPORT NEEDED
B16-17526,5/8/16,2:33 AM,May,Sunday,NOISE,3253 E COVENANTER DR,LB310,BPD,NO REPORT NEEDED
B16-17611,5/8/16,9:08 PM,May,Sunday,NOISE,950 S MAXWELL TER; APT D,LB312,BPD,NO REPORT NEEDED
B16-17579,5/8/16,4:58 PM,May,Sunday,PANHANDLING,E MOORES PIKE & S SMITH RD,LB320,BPD,NO REPORT NEEDED
B16-17578,5/8/16,4:33 PM,May,Sunday,PANHANDLING,E MOORES PIKE & S SMITH RD,LB320,BPD,NO REPORT NEEDED
B16-17565,5/8/16,2:21 PM,May,Sunday,VANDALISM NP,2671 E 7TH ST; APT 7,LB221,BPD,NO REPORT NEEDED
B16-17653,5/9/16,11:41 AM,May,Monday,DISTURBANCE IP,106 E 2ND ST; SAHARA MART,LB301,BPD,NO REPORT NEEDED
B16-17702,5/9/16,6:05 PM,May,Monday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-17714,5/9/16,8:23 PM,May,Monday,DISTURBANCE IP,2337 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-17712,5/9/16,8:03 PM,May,Monday,DISTURBANCE IP,420 E KIRKWOOD AVE; CHIPOTLE MEXICAN GRILL KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-17700,5/9/16,6:01 PM,May,Monday,DISTURBANCE IP,429 E KIRKWOOD AVE; GREETING,LB102,BPD,NO REPORT NEEDED
B16-17684,5/9/16,4:00 PM,May,Monday,DRUNK,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT NEEDED
B16-17730,5/9/16,10:25 PM,May,Monday,NOISE,1111 N RUSSELL RD; UNIVERSITY ELEMENTARY SCHOOL,LB217,BPD,NO REPORT NEEDED
B16-17699,5/9/16,4:58 PM,May,Monday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-17627,5/9/16,2:15 AM,May,Monday,NOISE,3046 E AMY LN,LB221,BPD,NO REPORT NEEDED
B16-17626,5/9/16,1:13 AM,May,Monday,NOISE,3101 E GOODNIGHT WAY; FIRST FLOOR,LB310,BPD,NO REPORT NEEDED
B16-17741,5/9/16,11:35 PM,May,Monday,NOISE,3335 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-17678,5/9/16,3:13 PM,May,Monday,NOISE,N WASHINGTON ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-17735,5/9/16,11:21 PM,May,Monday,VANDALISM IP,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,NO REPORT NEEDED
B16-17720,5/9/16,9:18 PM,May,Monday,VANDALISM IP,W PATTERSON DR & S MORTON ST; PATTERSON & FAIRVIEW,LB412,BPD,NO REPORT NEEDED
B16-17655,5/9/16,11:44 AM,May,Monday,VANDALISM NP,1103 N ILLINOIS ST,LB517,BPD,REPORT NEEDED
B16-17674,5/9/16,3:05 PM,May,Monday,VANDALISM NP,222 S COLLEGE AVE; GRANT PROPERTIES,LB103,BPD,REPORT NEEDED
