Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-38665,9/26/16,9:15 PM,September,Monday,DRUNK,110 S INDIANA AVE; STARBUCKS DOWNTOWN,LB104,BPD,NO REPORT NEEDED
B16-38653,9/26/16,7:33 PM,September,Monday,DRUNK,2894 E 3RD ST,LB305,BPD,NO REPORT NEEDED
B16-38548,9/26/16,1:57 AM,September,Monday,DRUNK,3200 E LONGVIEW AVE; apt 56,LB221,BPD,NO REPORT NEEDED
B16-38440,9/25/16,3:43 AM,September,Sunday,DRUNK,1400 W 8TH ST,LB521,BPD,NO REPORT NEEDED
B16-38435,9/25/16,2:05 AM,September,Sunday,DRUNK,N COLLEGE AVE & W 8TH ST,LB101,BPD,NO REPORT NEEDED
B16-38384,9/24/16,7:33 PM,September,Saturday,DRUNK,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-38374,9/24/16,6:25 PM,September,Saturday,DRUNK,114 E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-38371,9/24/16,5:35 PM,September,Saturday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B16-38351,9/24/16,3:28 PM,September,Saturday,DRUNK,1212 N GRANT ST ; NORTHVIEW APTS,LB213,BPD,NO REPORT NEEDED
B16-38344,9/24/16,2:36 PM,September,Saturday,DRUNK,2411 N DUNN ST,LB209,BPD,NO REPORT NEEDED
B16-38229,9/23/16,6:00 PM,September,Friday,DRUNK,S FAIRVIEW ST & W ALLEN ST,LB412,BPD,REPORT NEEDED
B16-38105,9/22/16,9:36 PM,September,Thursday,DRUNK,3700 W 3RD ST; KFC WEST,LB524,BPD,NO REPORT NEEDED
B16-37965,9/22/16,1:31 AM,September,Thursday,DRUNK,S WALNUT ST & W 3RD ST,LB103,BPD,NO REPORT NEEDED
B16-37658,9/20/16,4:14 AM,September,Tuesday,DRUNK,500 N PARK RIDGE RD,LB219,BPD,NO REPORT NEEDED
B16-37649,9/20/16,1:57 AM,September,Tuesday,DRUNK,105 W 7TH ST; VIDEO SALOON,LB101,BPD,REPORT NEEDED
B16-37635,9/19/16,10:40 PM,September,Monday,DRUNK,550 S WALNUT ST; RALLYS,LB410,BPD,NO REPORT NEEDED
B16-37572,9/19/16,2:53 PM,September,Monday,DRUNK,N COLLEGE AVE & W 15TH ST,LB519,BPD,NO REPORT NEEDED
B16-37381,9/18/16,5:01 AM,September,Sunday,DRUNK,415 N WALNUT ST; PAPA JOHNS PIZZA NORTH,LB101,BPD,NO REPORT NEEDED
B16-37380,9/18/16,4:31 AM,September,Sunday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-37378,9/18/16,4:04 AM,September,Sunday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
B16-37352,9/18/16,12:53 AM,September,Sunday,DRUNK,N LINCOLN ST & E 18TH ST,LB212,BPD,NO REPORT NEEDED
B16-37348,9/18/16,12:37 AM,September,Sunday,DRUNK,N DUNN ST & E 17TH ST,LIU07,BPD,NO REPORT NEEDED
B16-37341,9/18/16,12:09 AM,September,Sunday,DRUNK,S WALNUT ST & E 4TH ST,LB103,BPD,NO REPORT NEEDED
B16-37339,9/17/16,11:55 PM,September,Saturday,DRUNK,419 N WASHINGTON ST; SHOWERS BRIDWELL HOUSE,LB102,BPD,NO REPORT NEEDED
B16-37284,9/17/16,5:04 PM,September,Saturday,DRUNK,116 N WALNUT ST; ATHENA'S,LB102,BPD,NO REPORT NEEDED
B16-37246,9/17/16,12:11 PM,September,Saturday,DRUNK,320 N JACOB DR; OLIVE GARDEN,LB523,BPD,REPORT NEEDED
B16-37244,9/17/16,11:43 AM,September,Saturday,DRUNK,360 N JACOB DR; O CHARLEYS,LB523,BPD,NO REPORT NEEDED
B16-37215,9/17/16,4:06 AM,September,Saturday,DRUNK,200 W 7TH ST,LB101,BPD,NO REPORT NEEDED
B16-37181,9/17/16,12:14 AM,September,Saturday,DRUNK,N DUNN ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-37164,9/16/16,11:10 PM,September,Friday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-37132,9/16/16,6:59 PM,September,Friday,DRUNK,116 N GRANT ST,LB102,BPD,REPORT NEEDED
B16-37023,9/16/16,4:06 AM,September,Friday,DRUNK,701 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-37017,9/16/16,2:36 AM,September,Friday,DRUNK,1827 E 10TH ST; JIMMY JOHNS GOURMET SANDWICHES CROSSTOWN,LIU09,BPD,NO REPORT NEEDED
B16-37013,9/16/16,2:10 AM,September,Friday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,REPORT NEEDED
B16-36981,9/15/16,9:57 PM,September,Thursday,DRUNK,N COLLEGE AVE & W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-36880,9/15/16,2:46 AM,September,Thursday,DRUNK,800 N GRANT ST,LB213,BPD,NO REPORT NEEDED
B16-36845,9/14/16,7:33 PM,September,Wednesday,DRUNK,S ADAMS ST & W 2ND ST,LB406,BPD,NO REPORT NEEDED
B16-36816,9/14/16,3:21 PM,September,Wednesday,DRUNK,122 S WALNUT ST,LB103,BPD,REPORT NEEDED
B16-36754,9/14/16,3:04 AM,September,Wednesday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-36730,9/13/16,10:16 PM,September,Tuesday,DRUNK,N JACKSON ST & W 15TH ST,LB518,BPD,REPORT NEEDED
B16-36695,9/13/16,5:54 PM,September,Tuesday,DRUNK,1309 S ROGERS ST,LB412,BPD,NO REPORT NEEDED
B16-36618,9/13/16,6:25 AM,September,Tuesday,DRUNK,S WALNUT ST & E HILLSIDE DR,LB421,BPD,NO REPORT NEEDED
B16-36612,9/13/16,4:29 AM,September,Tuesday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-36609,9/13/16,3:52 AM,September,Tuesday,DRUNK,1712 S WALNUT ST;DOUG'S AUTO,LB421,BPD,NO REPORT NEEDED
B16-36565,9/12/16,7:34 PM,September,Monday,DRUNK,3100 S WALNUT STREET PIKE; APT A-44,LB336,BPD,NO REPORT NEEDED
B16-36422,9/11/16,7:10 PM,September,Sunday,DRUNK,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,NO REPORT NEEDED
B16-36298,9/10/16,10:00 PM,September,Saturday,DRUNK,1150 S CLARIZZ BLVD  BLDG G,LB310,BPD,NO REPORT NEEDED
B16-36259,9/10/16,6:36 PM,September,Saturday,DRUNK,1310 S DUNN ST,LB314,BPD,NO REPORT NEEDED
B16-36165,9/10/16,2:51 AM,September,Saturday,DRUNK,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-36164,9/10/16,2:43 AM,September,Saturday,DRUNK,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-36124,9/9/16,11:18 PM,September,Friday,DRUNK,S WALNUT ST & E GRIMES LN,LB314,BPD,NO REPORT NEEDED
B16-36069,9/9/16,5:53 PM,September,Friday,DRUNK,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-35971,9/9/16,8:13 AM,September,Friday,DRUNK,111 N ROGERS ST; SALVATION ARMY,LB520,BPD,NO REPORT NEEDED
B16-35947,9/9/16,2:24 AM,September,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-35931,9/9/16,12:27 AM,September,Friday,DRUNK,12TH & SUMMIT,LB517,BPD,NO REPORT NEEDED
B16-35789,9/8/16,12:45 AM,September,Thursday,DRUNK,200 W 6TH ST,LB101,BPD,REPORT NEEDED
B16-35776,9/7/16,11:08 PM,September,Wednesday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-35705,9/7/16,1:43 PM,September,Wednesday,DRUNK,419 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-35614,9/6/16,9:06 PM,September,Tuesday,DRUNK,2810 W KELLIS WAY,LB415,BPD,NO REPORT NEEDED
B16-35604,9/6/16,7:42 PM,September,Tuesday,DRUNK,1870 S WALNUT ST; BIG RED LIQUORS,LB421,BPD,NO REPORT NEEDED
B16-35531,9/6/16,11:03 AM,September,Tuesday,DRUNK,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT NEEDED
B16-35385,9/5/16,5:17 AM,September,Monday,DRUNK,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-35380,9/5/16,3:33 AM,September,Monday,DRUNK,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT NEEDED
B16-35263,9/4/16,5:05 AM,September,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-35252,9/4/16,2:35 AM,September,Sunday,DRUNK,N WALNUT ST & E 10TH ST,LB102,BPD,NO REPORT NEEDED
B16-35243,9/4/16,1:54 AM,September,Sunday,DRUNK,S LINCOLN ST & E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-35242,9/4/16,1:52 AM,September,Sunday,DRUNK,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-35128,9/3/16,10:27 AM,September,Saturday,DRUNK,300 S ROGERS ST,LB408,BPD,NO REPORT NEEDED
B16-35113,9/3/16,7:47 AM,September,Saturday,DRUNK,211 S KIMBLE DR; RED BRICK APARTMENTS,LB523,BPD,NO REPORT NEEDED
B16-35109,9/3/16,6:06 AM,September,Saturday,DRUNK,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,NO REPORT NEEDED
B16-35103,9/3/16,4:55 AM,September,Saturday,DRUNK,S ROGERS ST & W 4TH ST,LB408,BPD,NO REPORT NEEDED
B16-35086,9/3/16,2:34 AM,September,Saturday,DRUNK,N MADISON ST & W 17TH ST,LB519,BPD,NO REPORT NEEDED
B16-35080,9/3/16,1:50 AM,September,Saturday,DRUNK,S GRANT ST & E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-35079,9/3/16,1:45 AM,September,Saturday,DRUNK,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
B16-35066,9/3/16,12:37 AM,September,Saturday,DRUNK,511 E 14TH ST,LB214,BPD,NO REPORT NEEDED
B16-35065,9/3/16,12:36 AM,September,Saturday,DRUNK,701 E 17TH ST; MEMORIAL STADIUM,LIU07,BPD,REPORT NEEDED
B16-35063,9/3/16,12:34 AM,September,Saturday,DRUNK,N DUNN ST & E 19TH ST,LB212,BPD,NO REPORT NEEDED
B16-35012,9/2/16,7:16 PM,September,Friday,DRUNK,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,REPORT NEEDED
B16-34948,9/2/16,12:30 PM,September,Friday,DRUNK,315 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,NO REPORT NEEDED
B16-34916,9/2/16,6:02 AM,September,Friday,DRUNK,114 E KIRKWOOD AVE; BUSKIRK CHUMLEY,LB104,BPD,NO REPORT NEEDED
B16-34906,9/2/16,3:23 AM,September,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-34905,9/2/16,3:10 AM,September,Friday,DRUNK,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,REPORT NEEDED
B16-34904,9/2/16,3:06 AM,September,Friday,DRUNK,212 N MORTON ST,LB101,BPD,NO REPORT NEEDED
B16-34888,9/2/16,12:17 AM,September,Friday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-34784,9/1/16,11:29 AM,September,Thursday,DRUNK,329 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-34774,9/1/16,9:22 AM,September,Thursday,DRUNK,2510 S LEONARD SPRINGS RD; BIG RED LIQUORS W SR 45,LMS27,BPD,NO REPORT NEEDED
B16-34628,8/31/16,10:12 AM,August,Wednesday,DRUNK,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-34331,8/29/16,1:55 PM,August,Monday,DRUNK,4023 W 3RD ST; CLOVER LEAF,LB402,BPD,NO REPORT NEEDED
B16-34124,8/28/16,2:54 AM,August,Sunday,DRUNK,N WALNUT ST & E 7TH ST,LB102,BPD,REPORT NEEDED
B16-34108,8/28/16,1:08 AM,August,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-34097,8/28/16,12:10 AM,August,Sunday,DRUNK,S STATE ROAD 37 & W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-34092,8/27/16,11:44 PM,August,Saturday,DRUNK,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,REPORT NEEDED
B16-34075,8/27/16,10:19 PM,August,Saturday,DRUNK,S STATE ROAD 37 & W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-33993,8/27/16,12:27 PM,August,Saturday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-33960,8/27/16,7:49 AM,August,Saturday,DRUNK,2700 E 3RD ST; CIRCLE K,LB221,BPD,NO REPORT NEEDED
B16-33941,8/27/16,2:35 AM,August,Saturday,DRUNK,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-33937,8/27/16,1:46 AM,August,Saturday,DRUNK,N JEFFERSON ST & E 8TH ST,LB222,BPD,NO REPORT NEEDED
B16-33933,8/27/16,12:50 AM,August,Saturday,DRUNK,300 E 2ND ST,LB301,BPD,NO REPORT NEEDED
B16-33895,8/26/16,9:15 PM,August,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-33888,8/26/16,8:02 PM,August,Friday,DRUNK,728 W DIXIE ST,LB412,BPD,REPORT NEEDED
B16-33798,8/26/16,7:28 AM,August,Friday,DRUNK,407 S COLLEGE AVE,LB103,BPD,NO REPORT NEEDED
B16-33767,8/26/16,2:15 AM,August,Friday,DRUNK,N MADISON ST & W 15TH ST,LB518,BPD,NO REPORT NEEDED
B16-33764,8/26/16,1:30 AM,August,Friday,DRUNK,609 S HENDERSON ST,LB302,BPD,NO REPORT NEEDED
B16-33762,8/26/16,1:14 AM,August,Friday,DRUNK,200 N MORTON ST,LB101,BPD,REPORT NEEDED
B16-33717,8/25/16,8:34 PM,August,Thursday,DRUNK,817 N JACKSON ST,LB518,BPD,NO REPORT NEEDED
B16-33562,8/24/16,9:57 PM,August,Wednesday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-33531,8/24/16,6:49 PM,August,Wednesday,DRUNK,2311 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-33530,8/24/16,6:49 PM,August,Wednesday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-33509,8/24/16,4:38 PM,August,Wednesday,DRUNK,S WASHINGTON ST & E 4TH ST,LB104,BPD,REPORT NEEDED
B16-33010,8/21/16,8:01 AM,August,Sunday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-32993,8/21/16,4:20 AM,August,Sunday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-32988,8/21/16,3:47 AM,August,Sunday,DRUNK,815 E COTTAGE GROVE AVE,LB214,BPD,REPORT NEEDED
B16-32978,8/21/16,2:49 AM,August,Sunday,DRUNK,N COLLEGE AVE & W 10TH ST,LB101,BPD,NO REPORT NEEDED
B16-32942,8/21/16,12:54 AM,August,Sunday,DRUNK,N COLLEGE AVE & W 7TH ST,LB101,BPD,NO REPORT NEEDED
B16-32940,8/21/16,12:51 AM,August,Sunday,DRUNK,E 14TH ST & N DUNN ST,LB213,BPD,NO REPORT NEEDED
B16-32921,8/20/16,11:56 PM,August,Saturday,DRUNK,116 E 19TH ST,LB212,BPD,NO REPORT NEEDED
B16-32919,8/20/16,11:50 PM,August,Saturday,DRUNK,924 S COPPER BEECH WAY,LB415,BPD,NO REPORT NEEDED
B16-32877,8/20/16,9:52 PM,August,Saturday,DRUNK,1350 W BLOOMFIELD RD  STE 1; BUFFALO WILD WINGS,LB406,BPD,NO REPORT NEEDED
B16-32858,8/20/16,7:43 PM,August,Saturday,DRUNK,113 N DUNN ST; BLOOMINGTON BAGEL COMPANY N DUNN ST,LB102,BPD,NO REPORT NEEDED
B16-32852,8/20/16,7:05 PM,August,Saturday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-32827,8/20/16,2:36 PM,August,Saturday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-32773,8/20/16,8:53 AM,August,Saturday,DRUNK,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B16-32752,8/20/16,2:55 AM,August,Saturday,DRUNK,1004 E 2ND ST,LB302,BPD,NO REPORT NEEDED
B16-32737,8/20/16,1:14 AM,August,Saturday,DRUNK,1214 N GRANT ST,LB213,BPD,NO REPORT NEEDED
B16-32723,8/20/16,12:33 AM,August,Saturday,DRUNK,E 19TH ST & N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-32724,8/20/16,12:32 AM,August,Saturday,DRUNK,559 S JUNYA ST,LB406,BPD,NO REPORT NEEDED
B16-32659,8/19/16,6:06 PM,August,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-32548,8/19/16,3:47 AM,August,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-32545,8/19/16,2:52 AM,August,Friday,DRUNK,1005 S MADISON ST,LB412,BPD,NO REPORT NEEDED
B16-32540,8/19/16,2:29 AM,August,Friday,DRUNK,102 E ALLEN ST,LB314,BPD,NO REPORT NEEDED
B16-32531,8/19/16,1:00 AM,August,Friday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-32480,8/18/16,10:23 PM,August,Thursday,DRUNK,118 N WALNUT ST,LB102,BPD,NO REPORT NEEDED
B16-32471,8/18/16,9:45 PM,August,Thursday,DRUNK,S WALNUT ST & E KIRKWOOD AVE,,BPD,NO REPORT NEEDED
B16-32467,8/18/16,9:20 PM,August,Thursday,DRUNK,1000 N COLLEGE AVE; CVS PHARMACY NORTH,LB519,BPD,NO REPORT NEEDED
B16-32428,8/18/16,7:03 PM,August,Thursday,DRUNK,401 N MORTON ST; SHOWERS BORTHERS BUILDING,LB101,BPD,NO REPORT NEEDED
B16-32295,8/18/16,3:41 AM,August,Thursday,DRUNK,3843 S MILL STONE CT,LB333,BPD,REPORT NEEDED
B16-32291,8/18/16,2:21 AM,August,Thursday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-32241,8/17/16,10:34 PM,August,Wednesday,DRUNK,550 S WALNUT ST; RALLYS,LB410,BPD,REPORT NEEDED
B16-32166,8/17/16,2:31 PM,August,Wednesday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-31882,8/16/16,5:28 AM,August,Tuesday,DRUNK,S HENDERSON ST & E HILLSIDE DR,LB314,BPD,NO REPORT NEEDED
B16-31712,8/15/16,3:35 AM,August,Monday,DRUNK,S ROGERS ST & W KIRKWOOD AVE,LB520,BPD,NO REPORT NEEDED
B16-31569,8/14/16,3:24 AM,August,Sunday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-31562,8/14/16,2:13 AM,August,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-31563,8/14/16,2:10 AM,August,Sunday,DRUNK,2200 S WALNUT ST,LB422,BPD,NO REPORT NEEDED
B16-31454,8/13/16,11:31 AM,August,Saturday,DRUNK,1117 N JACKSON ST,LB518,BPD,NO REPORT NEEDED
B16-31197,8/12/16,3:20 AM,August,Friday,DRUNK,1364 S COBBLE CREEK CIR,LB309,BPD,NO REPORT NEEDED
B16-31194,8/12/16,1:11 AM,August,Friday,DRUNK,112 E 3RD ST; pavilion properties,LB104,BPD,NO REPORT NEEDED
B16-31170,8/11/16,10:37 PM,August,Thursday,DRUNK,112 E 3RD ST; FLEENER BUILDING; PAVILION PROPERTIES,LB104,BPD,NO REPORT NEEDED
B16-31075,8/11/16,11:45 AM,August,Thursday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-31049,8/11/16,7:38 AM,August,Thursday,DRUNK,515 E 11TH ST;,LB214,BPD,NO REPORT NEEDED
B16-30921,8/10/16,10:05 AM,August,Wednesday,DRUNK,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-30778,8/9/16,11:01 AM,August,Tuesday,DRUNK,1105 N ILLINOIS ST,LB517,BPD,NO REPORT NEEDED
B16-30723,8/8/16,10:20 PM,August,Monday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-30710,8/8/16,8:45 PM,August,Monday,DRUNK,106 N WALNUT ST; MALIBU GRILL,LB102,BPD,NO REPORT NEEDED
B16-30603,8/7/16,11:17 PM,August,Sunday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-30545,8/7/16,3:14 PM,August,Sunday,DRUNK,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT NEEDED
B16-30533,8/7/16,1:51 PM,August,Sunday,DRUNK,2980 E 3RD ST; RADIO SHACK COLLEGE MALL,LB305,BPD,NO REPORT NEEDED
B16-30380,8/6/16,4:03 AM,August,Saturday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-30319,8/5/16,8:12 PM,August,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-30311,8/5/16,7:38 PM,August,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-30154,8/4/16,8:53 PM,August,Thursday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-30121,8/4/16,4:35 PM,August,Thursday,DRUNK,106 N WALNUT ST; MALIBU GRILL,LB102,BPD,NO REPORT NEEDED
B16-30064,8/4/16,9:30 AM,August,Thursday,DRUNK,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-30032,8/4/16,1:16 AM,August,Thursday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-29994,8/3/16,10:15 PM,August,Wednesday,DRUNK,1826 S OAKDALE DR; OAKDALE SQUARE APARTMENTS BUILDING 24,LB417,BPD,NO REPORT NEEDED
B16-29993,8/3/16,10:07 PM,August,Wednesday,DRUNK,3100 S WALNUT STREET PIKE; APT A18,LB336,BPD,REPORT NEEDED
B16-29986,8/3/16,9:10 PM,August,Wednesday,DRUNK,N ADAMS ST & W 6TH ST,LB521,BPD,REPORT NEEDED
B16-29964,8/3/16,6:56 PM,August,Wednesday,DRUNK,801 W 11TH ST,LB518,BPD,NO REPORT NEEDED
B16-29961,8/3/16,6:49 PM,August,Wednesday,DRUNK,218 S ROGERS ST,LB408,BPD,NO REPORT NEEDED
B16-29901,8/3/16,12:53 PM,August,Wednesday,DRUNK,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-29769,8/2/16,2:49 PM,August,Tuesday,DRUNK,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,NO REPORT NEEDED
B16-29767,8/2/16,2:29 PM,August,Tuesday,DRUNK,400 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-29621,8/1/16,5:34 PM,August,Monday,DRUNK,211 N WALNUT ST; BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-29604,8/1/16,3:58 PM,August,Monday,DRUNK,W 3RD ST & S GATES DR,LB403,BPD,NO REPORT NEEDED
B16-29483,7/31/16,7:13 PM,July,Sunday,DRUNK,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,REPORT NEEDED
B16-29392,7/31/16,3:06 AM,July,Sunday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-29343,7/30/16,5:08 PM,July,Saturday,DRUNK,3020 E 3RD ST; CHICK FIL A,LB305,BPD,NO REPORT NEEDED
B16-29131,7/29/16,2:16 AM,July,Friday,DRUNK,N WALNUT ST & E 10TH ST,LB102,BPD,NO REPORT NEEDED
B16-29120,7/28/16,11:36 PM,July,Thursday,DRUNK,2400 S WALNUT ST; TACO BELL SOUTH,LB422,BPD,NO REPORT NEEDED
B16-29080,7/28/16,5:17 PM,July,Thursday,DRUNK,303 E KIRKWOOD AVE; Monroe co public library,LB102,BPD,NO REPORT NEEDED
B16-28953,7/27/16,8:14 PM,July,Wednesday,DRUNK,301 S WALNUT ST; BT BUS TERMINAL,LB104,BPD,REPORT NEEDED
B16-28934,7/27/16,6:31 PM,July,Wednesday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-28899,7/27/16,3:03 PM,July,Wednesday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-28882,7/27/16,12:58 PM,July,Wednesday,DRUNK,3620 W 3RD ST; BIG LOTS,LB524,BPD,NO REPORT NEEDED
B16-28852,7/27/16,4:27 AM,July,Wednesday,DRUNK,105 W 4TH ST; 4TH STREET PARKING GARAGE,LB103,BPD,NO REPORT NEEDED
B16-28797,7/26/16,10:33 PM,July,Tuesday,DRUNK,2601 S WALNUT ST; MARATHON GAS STATION WINSLOW,LB328,BPD,NO REPORT NEEDED
B16-28728,7/26/16,12:54 PM,July,Tuesday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-28673,7/26/16,1:04 AM,July,Tuesday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-28630,7/25/16,8:08 PM,July,Monday,DRUNK,301 S WALNUT ST; BT BUS TERMINAL,LB104,BPD,NO REPORT NEEDED
B16-28631,7/25/16,8:04 PM,July,Monday,DRUNK,710 N MORTON ST; PARK ON MORTON,LB519,BPD,NO REPORT NEEDED
B16-28607,7/25/16,4:38 PM,July,Monday,DRUNK,112 E KIRKWOOD AVE; STE 1,LB104,BPD,REPORT NEEDED
B16-28391,7/24/16,4:22 AM,July,Sunday,DRUNK,N WOODBURN AVE & W 16TH ST,LB519,BPD,NO REPORT NEEDED
B16-28385,7/24/16,2:24 AM,July,Sunday,DRUNK,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,NO REPORT NEEDED
B16-28223,7/23/16,12:07 AM,July,Saturday,DRUNK,328 S WALNUT ST,LB103,BPD,NO REPORT NEEDED
